cnn_illegal,cnn_paper,cnn_rock,cnn_scissors,mp_illegal,mp_paper,mp_rock,mp_scissors,label
0.9639291763305664,0.0013709573540836573,0.0060796188190579414,0.02862025424838066,0.0,0.0,0.0,0.0,illegal
0.647846519947052,0.006851392798125744,0.01759878359735012,0.3277033269405365,0.0,0.0,0.0,0.0,illegal
0.6542834639549255,0.01982080563902855,0.03125910088419914,0.29463663697242737,0.0,0.0,0.0,0.0,illegal
0.3531108796596527,0.45038557052612305,0.0402044914662838,0.15629903972148895,0.0,0.0,0.0,0.0,illegal
0.9629831910133362,0.0041214111261069775,0.010845609940588474,0.02204976975917816,0.0,0.0,0.0,0.0,illegal
0.9587947130203247,0.0009207900147885084,0.012005076743662357,0.028279419988393784,0.0,0.0,0.0,0.0,illegal
0.8371087312698364,0.0019032307900488377,0.0035439766943454742,0.1574440747499466,0.0,0.0,0.0,0.0,illegal
0.7751851081848145,0.011117242276668549,0.005393445026129484,0.20830421149730682,0.0,0.0,0.0,0.0,illegal
0.6569442749023438,0.05120401829481125,0.13946108520030975,0.15239061415195465,0.0,0.0,0.0,0.0,illegal
0.819952666759491,0.007432832382619381,0.034115102142095566,0.1384993940591812,0.0,0.0,0.0,0.0,illegal
0.9318063259124756,0.0027703670784831047,0.014324028044939041,0.051099345088005066,0.4157660901546478,0.0070952181704342365,0.5574430823326111,0.019695650786161423,illegal
0.8301171660423279,0.006063844542950392,0.0277919452637434,0.136026993393898,0.3378344178199768,0.006097840610891581,0.514712929725647,0.14135482907295227,illegal
0.6872100830078125,0.19672651588916779,0.07137714326381683,0.044686209410429,0.0,0.0,0.0,0.0,illegal
0.8548595905303955,0.0033103665336966515,0.030898567289114,0.11093147099018097,0.5995750427246094,0.02329964004456997,0.3291568458080292,0.047968458384275436,illegal
0.25536173582077026,0.24081002175807953,0.3156629502773285,0.1881653070449829,0.0,0.0,0.0,0.0,illegal
0.23173542320728302,0.022872712463140488,0.5619231462478638,0.18346869945526123,0.0,0.0,0.0,0.0,illegal
0.5565505623817444,0.011203804053366184,0.1544218361377716,0.2778237760066986,0.7025466561317444,0.009323038160800934,0.18981647491455078,0.09831385314464569,illegal
0.9147742390632629,0.008188026025891304,0.014713653363287449,0.06232406944036484,0.48119810223579407,0.019103338941931725,0.41905638575553894,0.08064213395118713,illegal
0.4005448818206787,0.21183910965919495,0.023650523275136948,0.3639655113220215,0.0,0.0,0.0,0.0,illegal
